geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
36047028600,Census Tract 286, Kings County, New York,4646,41658,603700,1347,2189,109,81,1395,0,0,0,953
36047028700,Census Tract 287, Kings County, New York,2686,29101,638900,449,331,1379,21,296,0,65,0,594
36047028800,Census Tract 288, Kings County, New York,3580,48857,637700,825,1578,8,0,1207,0,102,9,676
36047028900,Census Tract 289, Kings County, New York,3560,43030,645600,479,345,2074,0,67,0,27,12,1035
36047029000,Census Tract 290, Kings County, New York,3988,52163,637400,1072,2588,17,0,1059,0,0,67,257
36047029100,Census Tract 291, Kings County, New York,2909,42886,676400,596,450,2020,34,0,0,0,31,374
36047029200,Census Tract 292, Kings County, New York,2814,45869,705500,647,1319,84,0,924,0,0,30,457
36047029300,Census Tract 293, Kings County, New York,3419,34327,1017000,712,140,2147,45,158,0,0,159,770
36047029400,Census Tract 294, Kings County, New York,2460,54706,808700,360,1381,109,0,648,0,0,6,316
36047029500,Census Tract 295, Kings County, New York,3860,53523,828100,1390,695,2682,0,85,0,10,51,337
36047029600,Census Tract 296, Kings County, New York,5445,52857,555800,1339,3029,89,19,1848,0,0,198,281
36047029700,Census Tract 297, Kings County, New York,4198,52594,894900,1149,396,3139,21,100,0,0,240,323
36047029800,Census Tract 298, Kings County, New York,4036,50735,768200,846,1644,64,0,1361,0,243,0,724
36047029900,Census Tract 299, Kings County, New York,2791,27321,536100,160,69,2060,0,147,0,5,31,479
36047030000,Census Tract 300, Kings County, New York,4010,45987,683100,684,1260,29,0,1957,0,0,0,764
36047030100,Census Tract 301, Kings County, New York,2621,52756,605500,421,97,2104,0,191,0,44,0,185
36047030200,Census Tract 302, Kings County, New York,4461,60000,662400,900,1405,52,0,2612,0,6,24,362
36047030300,Census Tract 303, Kings County, New York,5319,26953,508500,524,73,4207,8,50,0,0,43,938
36047030400,Census Tract 304, Kings County, New York,3888,39235,669300,923,1795,11,0,1743,0,0,116,223
